IDTimbratura_Timb,Tag_Timb,CodDip_Timb,TimeIn_Timb,TimeOut_Timb,OraIn_Timb,MinIn_Timb,OraInRic_Timb,MinInRic_Timb,OraOut_Timb,MinOut_Timb,OraOutRic_Timb,MinOutRic_Timb,OreLav_Timb,MinLav_Timb,Export_Timb,Omessa_Timb,InserMan_Timb,Validata_Timb,BollatriceNum_Timb
263,d4531d04,1008,2023-05-31 08:55:41,2023-05-31 17:33:48,8.0,55.0,9,0,17.0,33.0,17,30,7.5,0,False,False,False,True,1
261,d4531d04,1008,2023-05-30 09:03:40,2023-05-30 18:48:31,9.0,3.0,9,0,18.0,48.0,19,0,9.0,0,False,False,False,True,1
252,d4531d04,1008,2023-05-26 07:27:22,2023-05-26 17:52:52,7.0,27.0,7,30,17.0,52.0,18,0,9.5,0,False,False,False,True,1
222,d4531d04,1008,2023-11-13 08:20:22,2023-11-13 17:53:40,8.0,20.0,8,30,17.0,53.0,18,0,8.5,0,False,False,False,True,1
217,d4531d04,1008,2023-11-09 08:13:32,2023-11-09 19:54:37,8.0,13.0,8,0,19.0,54.0,20,0,11.0,0,False,False,False,True,1
214,d4531d04,1008,2023-11-08 08:16:26,2023-11-08 17:31:56,8.0,16.0,8,30,17.0,31.0,17,30,8.0,0,False,False,False,True,1
210,d4531d04,1008,2023-11-07 08:23:15,2023-11-07 17:33:15,8.0,23.0,8,30,17.0,33.0,17,30,8.0,0,False,False,False,True,1
206,d4531d04,1008,,2023-11-06 17:54:50,,,0,0,17.0,54.0,0,0,0.0,0,False,True,False,True,1
200,d4531d04,1008,2023-11-03 08:17:31,2023-11-03 17:38:44,8.0,17.0,8,30,17.0,38.0,17,30,8.0,0,False,False,False,True,1
196,d4531d04,1008,2023-11-02 08:22:47,2023-11-02 18:02:50,8.0,22.0,8,30,18.0,2.0,18,0,8.5,0,False,False,False,True,1
191,d4531d04,1008,2023-10-31 08:38:40,2023-10-31 18:05:48,8.0,38.0,8,30,18.0,5.0,18,0,8.5,0,False,False,False,True,1
188,d4531d04,1008,2023-10-30 09:03:06,2023-10-30 17:58:00,9.0,3.0,9,0,17.0,58.0,18,0,8.0,0,False,False,False,True,1
168,d4531d04,1008,2023-10-24 09:09:09,2023-10-24 18:17:57,9.0,9.0,9,0,18.0,17.0,18,30,8.5,0,False,False,False,True,1
161,d4531d04,1008,2023-10-23 08:48:54,2023-10-23 17:58:02,8.0,48.0,9,0,17.0,58.0,18,0,8.0,0,False,False,False,True,1
140,d4531d04,1008,2023-10-18 09:03:10,2023-10-18 18:20:03,9.0,3.0,9,0,18.0,20.0,18,30,8.5,0,False,False,False,True,1
130,d4531d04,1008,2023-10-16 08:51:15,2023-10-16 18:09:42,8.0,51.0,9,0,18.0,9.0,18,0,8.0,0,False,False,False,True,1
123,d4531d04,1008,2023-10-12 08:49:09,2023-10-12 18:08:01,8.0,49.0,9,0,18.0,8.0,18,0,8.0,0,False,False,False,True,1
119,d4531d04,1008,2023-10-11 08:56:33,2023-10-11 17:59:06,8.0,56.0,9,0,17.0,59.0,18,0,8.0,0,False,False,False,True,1
116,d4531d04,1008,2023-10-10 09:02:19,2023-10-10 17:57:39,9.0,2.0,9,0,17.0,57.0,18,0,8.0,0,False,False,False,True,1
111,d4531d04,1008,2023-10-09 09:01:56,2023-10-09 18:01:10,9.0,1.0,9,0,18.0,1.0,18,0,8.0,0,False,False,False,True,1
106,d4531d04,1008,2023-10-06 09:03:21,2023-10-06 18:01:55,9.0,3.0,9,0,18.0,1.0,18,0,8.0,0,False,False,False,True,1
101,d4531d04,1008,2023-10-05 09:00:48,2023-10-05 18:04:22,9.0,0.0,9,0,18.0,4.0,18,0,8.0,0,False,False,False,True,1
96,d4531d04,1008,2023-10-04 08:47:52,2023-10-04 19:06:43,8.0,47.0,9,0,19.0,6.0,19,0,9.0,0,False,False,False,True,1
90,,1008,2023-10-03 09:04:00,2023-10-03 18:05:10,9.0,4.0,9,0,18.0,5.0,18,0,8.0,0,False,False,False,True,1
831,d4531d04,1008,2024-01-02 08:25:19,2024-01-02 17:52:45,8.0,25.0,8,30,17.0,52.0,18,0,8.5,0,False,False,False,True,1
826,d4531d04,1008,2023-12-29 08:25:55,2023-12-29 12:54:15,8.0,25.0,8,30,12.0,54.0,13,0,3.5,0,False,False,False,True,1
804,d4531d04,1008,2023-12-22 08:27:25,2023-12-22 17:32:49,8.0,27.0,8,30,17.0,32.0,17,30,8.0,0,False,False,False,True,1
799,d4531d04,1008,2023-12-21 08:44:30,2023-12-21 17:30:50,8.0,44.0,8,30,17.0,30.0,17,30,8.0,0,False,False,False,True,1
791,d4531d04,1008,2023-12-20 08:32:53,2023-12-20 18:06:20,8.0,32.0,8,30,18.0,6.0,18,0,8.5,0,False,False,False,True,1
785,d4531d04,1008,2023-12-19 08:35:23,2023-12-19 17:55:35,8.0,35.0,8,30,17.0,55.0,18,0,8.5,0,False,False,False,True,1
774,30eb153d,1008,2023-09-24 23:24:20,2023-09-24 23:24:25,23.0,24.0,23,30,23.0,24.0,23,30,-1.0,0,False,False,False,True,2
759,d4531d04,1008,2023-12-18 07:20:42,2023-12-18 17:58:44,7.0,20.0,7,30,17.0,58.0,18,0,9.5,0,False,False,False,True,1
756,d4531d04,1008,2023-12-15 08:26:14,2023-12-15 18:08:58,8.0,26.0,8,30,18.0,8.0,0,0,0.0,0,False,True,False,True,1
